method,modality,dataset,seed,samples,dice_mean,iou_mean,nsd_mean,hd95_finite_mean,assd_finite_mean,one_empty_failure_rate,source
LViT,image+text,medclipseg_busbra,789,282,0.876145,0.797580,0.502555,19.255969,6.092131,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busbra/seed789/controls/true/summary.csv
LViT,image+text,medclipseg_brisc,123,892,0.851990,0.784496,0.702708,14.520114,4.315957,0.020179,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_brisc/seed123/controls/true/summary.csv
LViT,image+text,medclipseg_brisc,456,892,0.853088,0.786609,0.711028,14.537101,4.435103,0.015695,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_brisc/seed456/controls/true/summary.csv
LViT,image+text,medclipseg_brisc,789,892,0.852129,0.785127,0.709730,15.396802,4.354458,0.013453,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_brisc/seed789/controls/true/summary.csv
LViT,image+text,medclipseg_covid19,123,2113,0.790075,0.694768,0.663688,27.697807,6.816964,0.003313,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_covid19/seed123/controls/true/summary.csv
LViT,image+text,medclipseg_covid19,456,2113,0.782842,0.686811,0.654898,27.107365,7.122014,0.005679,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_covid19/seed456/controls/true/summary.csv
LViT,image+text,medclipseg_covid19,789,2113,0.782188,0.689313,0.653926,26.599379,6.950898,0.010412,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_covid19/seed789/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_busi,123,78,0.858989,0.793791,0.425956,32.017249,10.429242,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busi/seed123/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_busi,456,78,0.852795,0.793334,0.451905,38.647240,12.240809,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busi/seed456/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_busi,789,78,0.861649,0.797566,0.440888,36.908544,11.600008,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busi/seed789/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_clinicdb,123,61,0.926265,0.869189,0.667399,14.067903,3.328264,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_clinicdb/seed123/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_clinicdb,456,61,0.923241,0.864536,0.672068,14.718640,3.506179,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_clinicdb/seed456/controls/true/summary.csv
MedEquiSeg,image+text,medclipseg_clinicdb,789,61,0.912650,0.857172,0.670637,16.185289,3.980646,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_clinicdb/seed789/controls/true/summary.csv
