model,dataset,seed,dice,iou,samples,source
ukan,medclipseg_clinicdb,123,0.917095000,0.855736000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_clinicdb/seed123/controls/true/summary.csv
ukan,medclipseg_clinicdb,456,0.910345000,0.849394000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_clinicdb/seed456/controls/true/summary.csv
ukan,medclipseg_clinicdb,789,0.914435000,0.854171000,61,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_clinicdb/seed789/controls/true/summary.csv
ukan,medclipseg_busbra,123,0.884354000,0.811070000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busbra/seed123/controls/true/summary.csv
ukan,medclipseg_busbra,456,0.878784000,0.804207000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busbra/seed456/controls/true/summary.csv
ukan,medclipseg_busbra,789,0.893589000,0.820380000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busbra/seed789/controls/true/summary.csv
ukan,medclipseg_brisc,123,0.850875000,0.779248000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_brisc/seed123/controls/true/summary.csv
ukan,medclipseg_brisc,456,0.856175000,0.785911000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_brisc/seed456/controls/true/summary.csv
ukan,medclipseg_brisc,789,0.856576000,0.784592000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_brisc/seed789/controls/true/summary.csv
ukan,medclipseg_covid19,123,0.792762000,0.696381000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_covid19/seed123/controls/true/summary.csv
ukan,medclipseg_covid19,456,0.796240000,0.702308000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_covid19/seed456/controls/true/summary.csv
ukan,medclipseg_covid19,789,0.792447000,0.698629000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_covid19/seed789/controls/true/summary.csv
