run_id,method,biomedclip,atconv,equiprompt,dataset,seed,dice,iou,source
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BRISC,789,0.861478,0.792466,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_brisc/seed789/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,COVID-19,123,0.834294,0.746281,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_covid19/seed123/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,COVID-19,456,0.832493,0.743773,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_covid19/seed456/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,COVID-19,789,0.832748,0.742631,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_covid19/seed789/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BUSI,123,0.858989,0.793791,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busi/seed123/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BUSI,456,0.852795,0.793334,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busi/seed456/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BUSI,789,0.861649,0.797566,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busi/seed789/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,ClinicDB,123,0.926265,0.869189,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_clinicdb/seed123/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,ClinicDB,456,0.923241,0.864536,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_clinicdb/seed456/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,ClinicDB,789,0.91265,0.857172,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_clinicdb/seed789/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BUS-BRA,123,0.903845,0.832676,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busbra/seed123/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BUS-BRA,456,0.902292,0.830626,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busbra/seed456/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BUS-BRA,789,0.900976,0.831272,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busbra/seed789/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BRISC,123,0.873156,0.804628,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_brisc/seed123/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BRISC,456,0.871975,0.802814,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_brisc/seed456/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,BRISC,789,0.870316,0.802049,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_brisc/seed789/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,COVID-19,123,0.840106,0.75449,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_covid19/seed123/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,COVID-19,456,0.842375,0.756638,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_covid19/seed456/controls/true/summary.csv
V3_ABL_EQUIPROMPT,MedEquiSeg,Yes,Yes,Yes,COVID-19,789,0.840015,0.754139,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_covid19/seed789/controls/true/summary.csv
