method,modality,dataset,seed,test_n,nonempty_n,empty_n,overall_dice,nonempty_dice,nonempty_iou,empty_specificity,empty_false_positive_rate,nonempty_empty_prediction_rate,source
LViT,image+text,medclipseg_busi,456,78,65,13,0.8085747692307692,0.7856743384615384,0.6983514307692308,0.9230769230769231,0.07692307692307687,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busi/seed456/controls/true/per_case.csv
LViT,image+text,medclipseg_busi,789,78,65,13,0.8261900512820513,0.7914280615384616,0.7073672769230769,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busi/seed789/controls/true/per_case.csv
LViT,image+text,medclipseg_clinicdb,123,61,61,0,0.9163610819672131,0.9163610819672131,0.854749737704918,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_clinicdb/seed123/controls/true/per_case.csv
LViT,image+text,medclipseg_clinicdb,456,61,61,0,0.9062382950819672,0.9062382950819672,0.8488576065573771,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_clinicdb/seed456/controls/true/per_case.csv
LViT,image+text,medclipseg_clinicdb,789,61,61,0,0.9083285245901639,0.9083285245901639,0.8431549016393443,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_clinicdb/seed789/controls/true/per_case.csv
LViT,image+text,medclipseg_busbra,123,282,282,0,0.8754793226950355,0.8754793226950355,0.7960031205673759,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busbra/seed123/controls/true/per_case.csv
LViT,image+text,medclipseg_busbra,456,282,282,0,0.8781830354609929,0.8781830354609929,0.7990190035460993,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busbra/seed456/controls/true/per_case.csv
LViT,image+text,medclipseg_busbra,789,282,282,0,0.876145354609929,0.876145354609929,0.7975797943262412,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busbra/seed789/controls/true/per_case.csv
LViT,image+text,medclipseg_brisc,123,892,753,139,0.8519901132286996,0.8326363625498008,0.7526830876494024,0.9568345323741008,0.043165467625899234,0.01593625498007968,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_brisc/seed123/controls/true/per_case.csv
LViT,image+text,medclipseg_brisc,456,892,753,139,0.8530876917040359,0.8299524847277556,0.7512019083665339,0.9784172661870504,0.021582733812949617,0.014608233731739707,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_brisc/seed456/controls/true/per_case.csv
LViT,image+text,medclipseg_brisc,789,892,753,139,0.8521290213004484,0.8274888273572377,0.7481187250996016,0.9856115107913669,0.014388489208633115,0.013280212483399735,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_brisc/seed789/controls/true/per_case.csv
LViT,image+text,medclipseg_covid19,123,2113,2113,0,0.7900753260766682,0.7900753260766682,0.6947681140558448,,,0.003312825366777094,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_covid19/seed123/controls/true/per_case.csv
LViT,image+text,medclipseg_covid19,456,2113,2113,0,0.7828422124940843,0.7828422124940843,0.6868113776620918,,,0.005679129200189304,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_covid19/seed456/controls/true/per_case.csv
LViT,image+text,medclipseg_covid19,789,2113,2113,0,0.7821882479886417,0.7821882479886417,0.6893131533364885,,,0.010411736867013724,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_covid19/seed789/controls/true/per_case.csv
LViT,image+text,busi_hf,123,102,102,0,0.8466017450980392,0.8466017450980392,0.7606669215686275,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_LVIT_PUBMEDBERT/busi_hf/seed123/controls/true/per_case.csv
LViT,image+text,busi_hf,456,102,102,0,0.8276147156862745,0.8276147156862745,0.7429250392156863,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_LVIT_PUBMEDBERT/busi_hf/seed456/controls/true/per_case.csv
LViT,image+text,busi_hf,789,102,102,0,0.8311128823529412,0.8311128823529412,0.7420857058823529,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_LVIT_PUBMEDBERT/busi_hf/seed789/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_busi,123,78,65,13,0.8589885384615384,0.8307862461538461,0.7525486923076923,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busi/seed123/controls/true/per_case.csv
MedEquiSeg,image+text,medclipseg_busi,456,78,65,13,0.8527945897435898,0.8233535076923076,0.7520003538461538,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_EQUIPROMPT/medclipseg_busi/seed456/controls/true/per_case.csv
